"Index" "SBI" "ICICI" "HDFC"
"2018-09-01" 49.8065814590575 49.589896618676 50.033048619698
"2018-09-02" 50.0748844620995 50.4616884059827 50.4360381204967
"2018-09-03" 49.1968221315854 49.7484215155436 49.7944425837442
"2018-09-04" 50.5704650246319 50.7114915846336 49.560545840239
"2018-09-05" 51.1180904290261 50.3051596507541 49.3970002427391
"2018-09-06" 50.6610953836527 49.6102951404206 49.3599100676469
"2018-09-07" 49.715710755501 50.3726079572238 50.2075369651492
"2018-09-08" 49.4824665874523 49.0855192170069 50.4767521367146
"2018-09-09" 50.9192648162078 49.4853901721767 49.8015864179747
"2018-09-10" 49.8743539405371 50.1839245595106 50.0040999035809
"2018-09-11" 51.0780665673614 50.8286555335532 50.634167631268
"2018-09-12" 50.3962997596638 50.3703271856376 51.3098421824523
"2018-09-13" 50.6599690779693 49.7342360511999 51.3794049077913
"2018-09-14" 49.1209428397085 49.6238902790774 49.1826952930384
"2018-09-15" 50.4308648110211 51.4079962788659 51.5947891151247
"2018-09-16" 50.0724223844189 49.2028396657951 48.3594624122017
"2018-09-17" 50.7352466675667 51.1315372006678 49.7073658770024
"2018-09-18" 49.3924652920401 50.8953414897032 48.6516764580497
"2018-09-19" 49.4108659009542 50.6032699350406 50.8864291914941
"2018-09-20" 48.9237693688581 52.063968719117 50.1586269425908
"2018-09-21" 50.5004053235761 52.26694286937 49.5101469195066
"2018-09-22" 50.6525559443814 49.1015975241224 49.8201417765622
"2018-09-23" 50.3690094229291 51.4527095679511 49.958538655092
"2018-09-24" 48.4541717299231 51.1753991541474 50.5360686191294
"2018-09-25" 49.5909109353774 50.6451165896987 51.1982378576146
"2018-09-26" 50.8455071898415 49.7288496638605 50.3944367151731
"2018-09-27" 48.1908488798874 50.4282231396924 49.963292254787
"2018-09-28" 47.9645210492249 49.6388014229134 48.7350786331671
"2018-09-29" 49.0544606694589 50.6464256882973 49.9575430517953
"2018-09-30" 51.7579193161586 47.574439954663 50.0942477058775
